key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
KDCA,observation,1451634720,KDCA,Washington/Natl,1451627520,N,44,26,2600,Cloudy,2,Falling Rapidly,32,44,63,30.14,10,40,340,NNW,,8,,,,0,,Low,40,0,,,,,OVC,,,,,,,,,
KDCA,observation,1451638320,KDCA,Washington/Natl,1451631120,N,42,27,2700,Mostly Cloudy,,,32,42,67,30.13,10,38,350,N,,7,,,,0,,Low,38,0,,,,,BKN,,,,,,,,,
KDCA,observation,1451641920,KDCA,Washington/Natl,1451634720,N,42,27,2700,Mostly Cloudy,,,32,42,67,30.14,10,37,340,NNW,,8,,,,0,,Low,37,0,,,,,BKN,,,,,,,,,
KDCA,observation,1451645520,KDCA,Washington/Natl,1451638320,N,42,27,2700,Mostly Cloudy,2,Falling Rapidly,30,42,62,30.12,10,38,320,NW,,7,,,,0,,Low,38,0,,,,,BKN,,,,,,,,,
KDCA,observation,1451649120,KDCA,Washington/Natl,1451641920,N,42,26,2600,Cloudy,,,30,42,62,30.12,10,37,320,NW,,8,,,,0,,Low,37,0,,,,,OVC,,,,,,,,,
KDCA,observation,1451652720,KDCA,Washington/Natl,1451645520,N,42,26,2600,Cloudy,,,29,42,60,30.12,10,36,320,NW,,10,,,,0,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1451656320,KDCA,Washington/Natl,1451649120,N,41,26,2600,Cloudy,1,Rising Rapidly,28,41,60,30.13,10,36,330,NNW,,7,,,,0,,Low,36,0,,,,,OVC,,,,,,,,,
KDCA,observation,1451659920,KDCA,Washington/Natl,1451652720,D,41,26,2600,Cloudy,,,29,41,62,30.13,10,35,330,NNW,,9,,,,0,,Low,35,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451663520,KDCA,Washington/Natl,1451656320,D,41,26,2600,Cloudy,,,29,41,62,30.14,10,36,320,NW,,7,,,,0,,Low,36,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451667120,KDCA,Washington/Natl,1451659920,D,42,26,2600,Cloudy,1,Rising Rapidly,30,42,62,30.15,10,36,330,NNW,,10,,,,0,,Low,36,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451670720,KDCA,Washington/Natl,1451663520,D,44,26,2600,Cloudy,,,30,44,58,30.15,10,39,300,WNW,,9,,,,0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451674320,KDCA,Washington/Natl,1451667120,D,45,26,2600,Cloudy,,,30,45,56,30.11,10,41,300,WNW,,8,,,,0,,Low,41,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451677920,KDCA,Washington/Natl,1451670720,D,46,26,2600,Cloudy,2,Falling Rapidly,31,46,56,30.09,10,40,300,WNW,,13,,,,0,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451681520,KDCA,Washington/Natl,1451674320,D,45,26,2600,Cloudy,,,30,45,56,30.07,10,39,300,WNW,,12,,,,0,,Low,39,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451685120,KDCA,Washington/Natl,1451677920,D,45,26,2600,Cloudy,,,30,45,56,30.07,10,41,310,NW,,7,,,,0,,Low,41,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451688720,KDCA,Washington/Natl,1451681520,D,44,26,2600,Cloudy,2,Falling,28,44,53,30.06,10,40,300,WNW,,7,,,,0,,Low,40,1,,,,,OVC,,,,,,,,,
KDCA,observation,1451690460,KDCA,Washington/Natl,1451683260,D,43,28,2800,Mostly Cloudy,,,27,43,53,30.07,10,38,320,NW,,8,,,,0,,Low,38,1,,,,,BKN,,,,,,,,,
KDCA,observation,1451692320,KDCA,Washington/Natl,1451685120,D,43,28,2800,Mostly Cloudy,,,27,43,53,30.08,10,39,340,NNW,,7,,,,0,,Low,39,0,,,,,BKN,,,,,,,,,
KDCA,observation,1451695920,KDCA,Washington/Natl,1451688720,N,41,27,2700,Mostly Cloudy,,,25,41,53,30.09,10,36,,VAR,,7,,,,0,,Low,36,0,,,,,BKN,,,,,,,,,
KDCA,observation,1451699520,KDCA,Washington/Natl,1451692320,N,40,29,2900,Partly Cloudy,1,Rising Rapidly,24,40,53,30.11,10,33,340,NNW,,10,,,,0,,Low,33,0,,,,,SCT,,,,,,,,,
KDCA,observation,1451703120,KDCA,Washington/Natl,1451695920,N,39,33,3300,Fair,,,23,39,53,30.12,10,33,330,NNW,,8,,,,0,,Low,33,0,,,,,CLR,,,,,,,,,
KDCA,observation,1451706720,KDCA,Washington/Natl,1451699520,N,39,33,3300,Fair,,,22,39,50,30.13,10,31,320,NW,,13,,,,0,,Low,31,0,,,,,CLR,,,,,,,,,
KDCA,observation,1451710320,KDCA,Washington/Natl,1451703120,N,38,33,3300,Fair,1,Rising,22,38,53,30.13,10,33,240,WSW,,7,,,,0,,Low,33,0,,,,,CLR,,,,,,,,,
